bv2022;nb_docteurs_pondere;population_2023_bv
46127;0.333333333;20681.0
46128;0.0;9238.0
46143;0.0;3493.0
46225;0.0;19448.0
46251;0.0;26156.0
46309;0.0;12016.0
46330;0.0;3268.0
47001;7.0;113462.0
47004;0.0;11510.0
47052;0.0;13573.0
47057;0.0;5435.0
47106;0.0;22494.0
47157;0.583333333;48019.0
47168;1.0;12185.0
47175;0.0;11096.0
47195;1.0;21884.0
47310;2.0;23532.0
47323;4.25;61732.0
48034;0.0;5761.0
48061;0.0;6418.0
48080;1.0;13718.0
48092;0.5;10060.0
48095;2.0;23520.0
48140;1.0;14839.0
49007;27.350000009;285437.0
49018;0.0;14971.0
49021;0.0;17750.0
49023;1.6666666650000002;23989.0
49050;0.0;12215.0
49054;0.0;10422.0
49063;0.0;9941.0
49080;0.0;14331.0
49092;0.0;25509.0
49099;9.166666662;91693.0
49125;0.0;15367.0
49126;0.0;17162.0
49127;0.0;7872.0
49176;1.499999999;15382.0
49180;0.0;8800.0
49214;0.0;19213.0
49215;0.0;7653.0
49218;0.0;15726.0
49228;0.0;6425.0
49244;0.366666667;25842.0
49248;0.0;17604.0
49261;0.0;9557.0
49283;0.0;9506.0
49301;0.0;29369.0
49307;1.0;16765.0
49328;5.666666666;57487.0
49331;1.950000003;20010.0
49333;0.0;6515.0
49345;0.0;11138.0
49347;0.0;12321.0
49373;0.0;12623.0
50003;0.5;9642.0
50025;4.683333331;41066.0
50031;0.0;4905.0
50074;0.0;6625.0
50076;0.0;14404.0
50082;0.0;10350.0
50099;1.0;16783.0
50129;9.0;107011.0
50147;0.833333333;23490.0
50218;3.899999999;32620.0
50236;0.0;30949.0
50341;0.0;5426.0
50359;0.0;10039.0
50394;0.0;10480.0
50402;0.0;13115.0
50410;0.0;11246.0
50484;0.0;15300.0
50487;0.0;8259.0
50502;5.133333331;66878.0
50539;0.0;6393.0
50582;0.0;4819.0
50601;0.0;11775.0
