bv2022;libelle;dep;region;lat;lon;population;nb_docteurs_pondere;densite_100k
01304;Pont-d'Ain;01;Auvergne-Rhône-Alpes;46.05920817751811;5.306331253691235;4647.0;1.433333333;30.844272283193458
01305;Pont-de-Vaux;01;Auvergne-Rhône-Alpes;46.45504293556245;4.982348254939986;21771.0;0.0;0.0
01333;Saint-André-de-Corcy;01;Auvergne-Rhône-Alpes;45.94831099698016;4.9348035845275655;10794.0;0.0;0.0
01354;Saint-Genis-Pouilly;01;Auvergne-Rhône-Alpes;46.23303361598722;5.963108962664556;35803.0;0.166666667;0.4655103399156495
01443;Villars-les-Dombes;01;Auvergne-Rhône-Alpes;45.999220202511374;5.053874831579612;9207.0;0.0;0.0
01457;Vonnas;01;Auvergne-Rhône-Alpes;46.23424121895951;5.018824700280829;11700.0;0.0;0.0
02095;Bohain-en-Vermandois;02;Hauts-de-France;49.981937796953765;3.420404953916728;23625.0;0.0;0.0
02163;Charly-sur-Marne;02;Hauts-de-France;48.978118820926944;3.299181177571271;9013.0;0.0;0.0
02168;Château-Thierry;02;Hauts-de-France;49.07356607773959;3.4044428291797537;43246.0;0.666666667;1.5415683924524812
02173;Chauny;02;Hauts-de-France;49.56975124124159;3.228686212208794;32194.0;2.0;6.212337702677517
02305;Fère-en-Tardenois;02;Hauts-de-France;49.18752253057561;3.557190164334488;5663.0;0.0;0.0
02360;Villeneuve-sur-Aisne;02;Hauts-de-France;49.44532449671947;3.924903471273651;6378.0;0.0;0.0
02361;Guise;02;Hauts-de-France;49.857319919911994;3.608351092597238;21823.0;0.0;0.0
02381;Hirson;02;Hauts-de-France;49.84377863585745;4.153078128392386;26284.0;0.0;0.0
02408;Laon;02;Hauts-de-France;49.584314891439384;3.689951527573719;74864.0;2.033333332;2.7160361882880957
02468;Marle;02;Hauts-de-France;49.73449327288389;3.7998106041691444;5294.0;0.0;0.0
02502;Montcornet;02;Hauts-de-France;49.67764098656553;4.021857848355211;4681.0;0.0;0.0
02558;Le Nouvion-en-Thiérache;02;Hauts-de-France;49.99757834765386;3.7913152459941677;15452.0;0.0;0.0
02691;Saint-Quentin;02;Hauts-de-France;49.86009937135874;3.2661788989029987;89039.0;10.499999997;11.792585268253237
02722;Soissons;02;Hauts-de-France;49.35913755716084;3.387768038853555;75185.0;5.416666667;7.204451242934096
02738;Tergnier;02;Hauts-de-France;49.67520854419052;3.3274871354381177;38543.0;0.0;0.0
02789;Vervins;02;Hauts-de-France;49.836202183671226;3.9131141022974205;9057.0;0.0;0.0
02810;Villers-Cotterêts;02;Hauts-de-France;49.21510909005684;3.1509314303012648;30011.0;0.0;0.0
03036;Bourbon-l'Archambault;03;Auvergne-Rhône-Alpes;46.58155925212834;3.0140840809475034;6978.0;0.0;0.0
03082;Commentry;03;Auvergne-Rhône-Alpes;46.25172795087484;2.733338613388041;21421.0;0.0;0.0
03102;Dompierre-sur-Besbre;03;Auvergne-Rhône-Alpes;46.506475546946454;3.6431884417754725;9817.0;0.0;0.0
03118;Gannat;03;Auvergne-Rhône-Alpes;46.135645550680564;3.1519637444470785;25062.0;0.0;0.0
03138;Lapalisse;03;Auvergne-Rhône-Alpes;46.28948715006632;3.695044702899229;14494.0;0.999999999;6.899406644128605
03185;Montluçon;03;Auvergne-Rhône-Alpes;46.434063318892534;2.5842078984930423;76090.0;6.0;7.885398869759496
03186;Montmarault;03;Auvergne-Rhône-Alpes;46.317546147248244;2.9399928364761156;3121.0;0.0;0.0
03190;Moulins;03;Auvergne-Rhône-Alpes;46.55541511892788;3.2869554926616624;63214.0;2.666666666;4.218474809377669
03254;Saint-Pourçain-sur-Sioule;03;Auvergne-Rhône-Alpes;46.31834792684109;3.2100180866863623;16117.0;0.5;3.10231432648756
03298;Varennes-sur-Allier;03;Auvergne-Rhône-Alpes;46.34511039196029;3.4462264725415785;6984.0;0.0;0.0
03310;Vichy;03;Auvergne-Rhône-Alpes;46.095777812463446;3.5092726776393075;91504.0;6.499999999;7.103514599361776
04019;Barcelonnette;04;Provence-Alpes-Côte d'Azur;44.42689565302607;6.714542687532918;6626.0;0.5;7.546030787805614
04049;Château-Arnoux-Saint-Auban;04;Provence-Alpes-Côte d'Azur;44.05428316066238;5.985060066763262;18017.0;0.333333333;1.8501045290558915
04070;Digne-les-Bains;04;Provence-Alpes-Côte d'Azur;44.11851744470214;6.2740751645469945;27682.0;0.666666666;2.408303829203092
04088;Forcalquier;04;Provence-Alpes-Côte d'Azur;44.01677158162233;5.71180057904866;17151.0;0.333333333;1.943521269896799
04094;Gréoux-les-Bains;83;Provence-Alpes-Côte d'Azur;43.706563954279474;5.885635938245374;15633.0;0.0;0.0
04112;Manosque;04;Provence-Alpes-Côte d'Azur;43.812325764587484;5.755064845963348;40800.0;4.238095237;10.38748832598039
04143;Oraison;04;Provence-Alpes-Côte d'Azur;43.94308103239952;5.967991750211766;8366.0;0.0;0.0
